"","season","gameid","teamid","opp","win","team_bpi","opp_bpi","bpi_diff"
"92",2013,"2013_1160_1228",1160,1228,0,75.8,69.7,6.09999999999999
"93",2013,"2013_1231_1241",1231,1241,1,88,48.2,39.8
"94",2013,"2013_1235_1323",1235,1323,1,76.5,76.6,-0.0999999999999943
"95",2013,"2013_1242_1443",1242,1443,1,85.5,50.6,34.9
"96",2013,"2013_1243_1247",1243,1247,0,77.6,72,5.59999999999999
"97",2013,"2013_1274_1334",1274,1334,1,83.4,59.5,23.9
"98",2013,"2013_1278_1417",1278,1417,1,77.6,77.7,-0.100000000000009
"99",2013,"2013_1279_1458",1279,1458,1,76.9,79.2,-2.3
"100",2013,"2013_1314_1437",1314,1437,1,77.5,70.6,6.90000000000001
"101",2013,"2013_1233_1326",1233,1326,0,62.9,84.8,-21.9
"102",2013,"2013_1328_1361",1328,1361,0,74.4,78.7,-4.3
"103",2013,"2013_1301_1396",1301,1396,0,80.1,71.5,8.59999999999999
"104",2013,"2013_1112_1217",1112,1217,1,83,59.6,23.4
"105",2013,"2013_1161_1257",1161,1257,0,78.5,91.3,-12.8
"106",2013,"2013_1139_1266",1139,1266,0,74.7,80.4,-5.7
"107",2013,"2013_1276_1433",1276,1433,1,84.1,80.2,3.89999999999999
"108",2013,"2013_1272_1277",1272,1277,0,81,83.7,-2.7
"109",2013,"2013_1332_1387",1332,1387,1,76.9,80.9,-4
"110",2013,"2013_1143_1393",1143,1393,0,72,83.5,-11.5
"111",2013,"2013_1211_1455",1211,1455,0,87.4,79.2,8.2
"112",2013,"2013_1166_1181",1166,1181,0,83.1,88.5,-5.40000000000001
"113",2013,"2013_1195_1361",1195,1361,1,56.2,78.7,-22.5
"114",2013,"2013_1196_1278",1196,1278,1,89,77.6,11.4
"115",2013,"2013_1231_1396",1231,1396,1,88,71.5,16.5
"116",2013,"2013_1242_1314",1242,1314,1,85.5,77.5,8
"117",2013,"2013_1247_1279",1247,1279,1,72,76.9,-4.90000000000001
"118",2013,"2013_1228_1274",1228,1274,0,69.7,83.4,-13.7
"119",2013,"2013_1235_1326",1235,1326,0,76.5,84.8,-8.3
"120",2013,"2013_1266_1274",1266,1274,1,80.4,83.4,-3
"121",2013,"2013_1112_1326",1112,1326,0,83,84.8,-1.8
"122",2013,"2013_1231_1393",1231,1393,0,88,83.5,4.5
"123",2013,"2013_1247_1455",1247,1455,0,72,79.2,-7.2
"124",2013,"2013_1181_1277",1181,1277,1,88.5,83.7,4.8
"125",2013,"2013_1195_1196",1195,1196,0,56.2,89,-32.8
"126",2013,"2013_1257_1332",1257,1332,1,91.3,76.9,14.4
"127",2013,"2013_1242_1276",1242,1276,0,85.5,84.1,1.40000000000001
"128",2013,"2013_1266_1393",1266,1393,0,80.4,83.5,-3.09999999999999
"129",2013,"2013_1326_1455",1326,1455,0,84.8,79.2,5.59999999999999
"130",2013,"2013_1181_1257",1181,1257,0,88.5,91.3,-2.8
"131",2013,"2013_1196_1276",1196,1276,0,89,84.1,4.90000000000001
"132",2013,"2013_1257_1455",1257,1455,1,91.3,79.2,12.1
"133",2013,"2013_1276_1393",1276,1393,1,84.1,83.5,0.599999999999994
"134",2013,"2013_1257_1276",1257,1276,1,91.3,84.1,7.2
"135",2014,"2014_1107_1291",1107,1291,1,47.4,40.1,7.3
"136",2014,"2014_1301_1462",1301,1462,1,70.2,71.9,-1.7
"137",2014,"2014_1142_1411",1142,1411,1,47.4,36.7,10.7
"138",2014,"2014_1234_1397",1234,1397,0,80,80,0
"139",2014,"2014_1163_1386",1163,1386,1,82.3,72.6,9.7
"140",2014,"2014_1173_1326",1173,1326,1,74.9,82.8,-7.89999999999999
"141",2014,"2014_1107_1196",1107,1196,0,47.4,90.1,-42.7
"142",2014,"2014_1153_1217",1153,1217,0,80.4,76.5,3.90000000000001
"143",2014,"2014_1257_1264",1257,1264,1,88.3,67.5,20.8
"144",2014,"2014_1276_1459",1276,1459,1,81.8,49,32.8
"145",2014,"2014_1174_1277",1174,1277,0,62.1,85.1,-23
"146",2014,"2014_1295_1328",1295,1328,1,69,79.2,-10.2
"147",2014,"2014_1140_1332",1140,1332,0,73.1,81.6,-8.5
"148",2014,"2014_1160_1338",1160,1338,0,71.5,83.4,-11.9
"149",2014,"2014_1308_1361",1308,1361,0,66.1,81.2,-15.1
"150",2014,"2014_1301_1387",1301,1387,0,70.2,77.9,-7.7
"151",2014,"2014_1393_1444",1393,1444,1,84,57.3,26.7
"152",2014,"2014_1113_1400",1113,1400,0,74.8,73,1.8
"153",2014,"2014_1437_1454",1437,1454,1,85,53,32
"154",2014,"2014_1110_1458",1110,1458,0,55.4,85.8,-30.4
"155",2014,"2014_1112_1451",1112,1451,1,91.1,51.8,39.3
"156",2014,"2014_1124_1304",1124,1304,1,76.2,70,6.2
"157",2014,"2014_1166_1418",1166,1418,1,81.5,57.9,23.6
"158",2014,"2014_1211_1329",1211,1329,1,79.7,81.8,-2.09999999999999
"159",2014,"2014_1235_1300",1235,1300,1,83.8,62,21.8
"160",2014,"2014_1184_1242",1184,1242,0,56.8,86.7,-29.9
"161",2014,"2014_1243_1246",1243,1246,0,73.1,85.5,-12.4
"162",2014,"2014_1203_1272",1203,1272,0,75.5,74.4,1.09999999999999
"163",2014,"2014_1181_1273",1181,1273,0,83.7,62.3,21.4
"164",2014,"2014_1314_1344",1314,1344,1,79.4,73.4,6
"165",2014,"2014_1372_1433",1372,1433,1,67.1,82.3,-15.2
"166",2014,"2014_1307_1390",1307,1390,0,79.5,76.1,3.40000000000001
"167",2014,"2014_1269_1397",1269,1397,0,76.4,80,-3.59999999999999
"168",2014,"2014_1409_1417",1409,1417,0,64.4,83.2,-18.8
"169",2014,"2014_1157_1438",1157,1438,0,47.4,86.9,-39.5
"170",2014,"2014_1142_1455",1142,1455,0,47.4,88.2,-40.8
"171",2014,"2014_1163_1437",1163,1437,1,82.3,85,-2.7
"172",2014,"2014_1173_1393",1173,1393,1,74.9,84,-9.09999999999999
"173",2014,"2014_1196_1338",1196,1338,1,90.1,83.4,6.69999999999999
"174",2014,"2014_1257_1387",1257,1387,1,88.3,77.9,10.4
"175",2014,"2014_1276_1400",1276,1400,1,81.8,73,8.8
"176",2014,"2014_1217_1277",1217,1277,0,76.5,85.1,-8.59999999999999
"177",2014,"2014_1295_1361",1295,1361,0,69,81.2,-12.2
"178",2014,"2014_1332_1458",1332,1458,0,81.6,85.8,-4.2
"179",2014,"2014_1112_1211",1112,1211,1,91.1,79.7,11.4
"180",2014,"2014_1124_1166",1124,1166,1,76.2,81.5,-5.3
"181",2014,"2014_1235_1314",1235,1314,1,83.8,79.4,4.39999999999999
"182",2014,"2014_1246_1455",1246,1455,1,85.5,88.2,-2.7
"183",2014,"2014_1242_1390",1242,1390,0,86.7,76.1,10.6
"184",2014,"2014_1273_1397",1273,1397,0,62.3,80,-17.7
"185",2014,"2014_1372_1417",1372,1417,0,67.1,83.2,-16.1
"186",2014,"2014_1272_1438",1272,1438,0,74.4,86.9,-12.5
"187",2014,"2014_1112_1361",1112,1361,1,91.1,81.2,9.89999999999999
"188",2014,"2014_1173_1390",1173,1390,1,74.9,76.1,-1.19999999999999
"189",2014,"2014_1196_1417",1196,1417,1,90.1,83.2,6.89999999999999
"190",2014,"2014_1124_1458",1124,1458,0,76.2,85.8,-9.59999999999999
"191",2014,"2014_1163_1235",1163,1235,1,82.3,83.8,-1.5
"192",2014,"2014_1246_1257",1246,1257,1,85.5,88.3,-2.8
"193",2014,"2014_1276_1397",1276,1397,1,81.8,80,1.8
"194",2014,"2014_1277_1438",1277,1438,1,85.1,86.9,-1.80000000000001
"195",2014,"2014_1173_1196",1173,1196,0,74.9,90.1,-15.2
"196",2014,"2014_1112_1458",1112,1458,0,91.1,85.8,5.3
"197",2014,"2014_1163_1277",1163,1277,1,82.3,85.1,-2.8
"198",2014,"2014_1246_1276",1246,1276,1,85.5,81.8,3.7
"199",2014,"2014_1163_1196",1163,1196,1,82.3,90.1,-7.8
"200",2014,"2014_1246_1458",1246,1458,1,85.5,85.8,-0.299999999999997
"201",2014,"2014_1163_1246",1163,1246,1,82.3,85.5,-3.2
